"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"18.11.2024","167,04","162,08","172,44","161,19","276,00K","3,06%"
"17.11.2024","162,08","168,85","172,23","159,67","257,94K","-4,01%"
"16.11.2024","168,85","164,45","175,63","163,23","274,77K","2,67%"
"15.11.2024","164,45","158,11","166,46","150,87","540,78K","4,01%"
"14.11.2024","158,11","173,22","176,79","155,83","320,32K","-8,69%"
"13.11.2024","173,15","179,22","187,63","167,45","409,48K","-3,39%"
"12.11.2024","179,22","193,48","196,32","172,78","531,40K","-7,37%"
"11.11.2024","193,48","189,97","195,06","183,42","427,85K","1,85%"
"10.11.2024","189,97","195,20","198,45","181,52","456,74K","-2,68%"
"09.11.2024","195,20","181,95","199,13","181,16","366,00K","7,28%"
"08.11.2024","181,95","183,44","184,99","176,22","303,41K","-0,81%"
"07.11.2024","183,44","173,52","190,17","173,49","672,44K","5,81%"
"06.11.2024","173,38","135,78","176,02","135,78","993,89K","27,69%"
"05.11.2024","135,78","128,29","136,83","127,96","257,27K","5,84%"
"04.11.2024","128,29","132,88","134,85","125,86","156,84K","-3,46%"
"03.11.2024","132,88","138,32","138,64","128,78","153,02K","-3,93%"
"02.11.2024","138,32","141,45","143,74","137,06","77,37K","-2,21%"
"01.11.2024","141,45","143,51","146,98","140,40","110,02K","-1,44%"
"31.10.2024","143,51","156,24","157,62","140,92","171,18K","-8,15%"
"30.10.2024","156,24","151,48","158,22","148,67","161,33K","3,14%"
"29.10.2024","151,48","151,69","155,34","149,21","138,37K","-0,14%"
"28.10.2024","151,69","147,84","154,27","146,41","151,86K","2,60%"
"27.10.2024","147,84","142,71","147,97","141,88","61,31K","3,60%"
"26.10.2024","142,71","138,24","143,77","137,00","101,82K","3,23%"
"25.10.2024","138,24","147,50","149,61","132,83","202,59K","-6,28%"
"24.10.2024","147,50","149,68","152,98","145,92","126,77K","-1,46%"
"23.10.2024","149,68","152,67","152,94","144,13","118,15K","-1,95%"
"22.10.2024","152,67","153,26","155,09","150,15","88,65K","-0,39%"
"21.10.2024","153,26","158,87","159,78","151,57","125,42K","-3,53%"
"20.10.2024","158,87","158,12","160,51","156,12","94,76K","0,48%"
"19.10.2024","158,12","158,96","159,83","155,79","80,87K","-0,53%"
"18.10.2024","158,96","153,12","158,96","152,11","139,70K","3,81%"
"17.10.2024","153,12","155,85","157,65","150,36","128,47K","-1,75%"
"16.10.2024","155,85","156,78","159,76","153,59","148,32K","-0,60%"
"15.10.2024","156,80","163,00","165,67","152,91","301,45K","-3,80%"
"14.10.2024","163,00","154,71","165,25","153,08","256,02K","5,35%"
"13.10.2024","154,71","154,69","155,83","150,64","134,10K","0,01%"
"12.10.2024","154,69","143,86","156,96","143,32","202,00K","7,53%"
"11.10.2024","143,86","140,68","145,74","140,39","108,63K","2,26%"
"10.10.2024","140,68","139,44","145,09","138,16","272,31K","0,89%"
"09.10.2024","139,44","143,23","144,00","138,69","193,34K","-2,65%"
"08.10.2024","143,23","146,57","147,72","141,89","146,57K","-2,28%"
"07.10.2024","146,57","150,11","154,78","145,56","225,87K","-2,35%"
"06.10.2024","150,11","148,51","150,54","146,23","89,15K","1,08%"
"05.10.2024","148,51","151,23","151,84","146,16","81,98K","-1,80%"
"04.10.2024","151,23","143,70","152,80","141,61","365,87K","5,24%"
"03.10.2024","143,70","139,12","145,36","134,92","430,79K","3,29%"
"02.10.2024","139,12","144,87","150,17","137,02","289,09K","-3,97%"
"01.10.2024","144,87","156,84","164,19","143,91","352,63K","-7,63%"
"30.09.2024","156,84","161,50","161,64","154,80","173,94K","-2,89%"
"29.09.2024","161,50","163,94","164,95","158,99","159,24K","-1,49%"
"28.09.2024","163,94","170,39","171,10","161,92","126,72K","-3,79%"
"27.09.2024","170,40","165,16","173,96","163,63","266,58K","3,17%"
"26.09.2024","165,16","165,07","169,98","163,12","225,31K","0,06%"
"25.09.2024","165,07","166,13","173,55","164,23","287,39K","-0,64%"
"24.09.2024","166,13","172,00","173,52","163,82","346,61K","-3,41%"
