"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"18.11.2024","616,30","618,74","629,83","612,21","498,70K","-0,39%"
"17.11.2024","618,74","622,46","646,91","605,56","615,18K","-0,60%"
"16.11.2024","622,46","619,11","633,53","617,57","462,16K","0,54%"
"15.11.2024","619,11","621,85","628,29","603,72","678,16K","-0,44%"
"14.11.2024","621,85","620,65","659,80","611,48","1,13M","0,19%"
"13.11.2024","620,65","625,31","638,04","599,44","1,08M","-0,71%"
"12.11.2024","625,08","660,15","666,66","612,86","1,26M","-5,31%"
"11.11.2024","660,15","627,46","664,60","613,04","1,06M","5,21%"
"10.11.2024","627,46","624,66","644,06","612,68","854,12K","0,48%"
"09.11.2024","624,48","597,81","637,97","597,51","794,09K","4,46%"
"08.11.2024","597,81","598,22","605,70","588,15","330,61K","-0,07%"
"07.11.2024","598,20","591,99","611,04","587,49","397,45K","1,05%"
"06.11.2024","591,99","563,23","594,76","563,19","568,65K","5,11%"
"05.11.2024","563,23","552,51","572,14","551,41","217,86K","1,94%"
"04.11.2024","552,51","557,70","564,59","543,87","271,27K","-0,93%"
"03.11.2024","557,70","568,59","569,30","547,30","223,61K","-1,88%"
"02.11.2024","568,40","573,09","576,78","562,40","148,72K","-0,82%"
"01.11.2024","573,09","576,50","585,40","568,00","252,22K","-0,61%"
"31.10.2024","576,60","595,50","596,39","571,39","288,20K","-3,17%"
"30.10.2024","595,50","606,30","606,59","594,31","193,18K","-1,78%"
"29.10.2024","606,30","600,99","612,09","600,00","311,62K","0,88%"
"28.10.2024","600,99","589,20","604,20","585,59","196,20K","1,98%"
"27.10.2024","589,30","583,30","591,00","581,80","98,11K","0,99%"
"26.10.2024","583,49","575,29","587,00","571,99","124,96K","1,43%"
"25.10.2024","575,29","594,41","597,39","566,84","267,45K","-3,22%"
"24.10.2024","594,41","584,89","597,91","583,50","155,61K","1,62%"
"23.10.2024","584,91","593,70","594,29","573,20","241,46K","-1,50%"
"22.10.2024","593,79","598,69","600,09","587,11","216,77K","-0,82%"
"21.10.2024","598,69","605,81","611,40","591,89","294,15K","-1,18%"
"20.10.2024","605,81","597,71","607,19","593,50","129,11K","1,36%"
"19.10.2024","597,71","599,19","601,31","595,61","83,90K","-0,25%"
"18.10.2024","599,19","592,89","602,39","591,90","147,44K","1,06%"
"17.10.2024","592,89","600,98","606,01","585,50","203,85K","-1,35%"
"16.10.2024","600,98","594,67","605,39","589,89","276,61K","1,06%"
"15.10.2024","594,67","589,10","599,60","578,44","361,59K","0,95%"
"14.10.2024","589,10","572,30","592,19","569,80","263,99K","2,94%"
"13.10.2024","572,30","576,59","578,39","565,01","124,95K","-0,74%"
"12.10.2024","576,59","573,30","578,99","573,30","145,01K","0,58%"
"11.10.2024","573,30","563,58","577,21","560,29","193,67K","1,72%"
"10.10.2024","563,58","570,79","572,82","554,52","192,53K","-1,26%"
"09.10.2024","570,79","580,78","585,68","566,85","351,05K","-1,72%"
"08.10.2024","580,78","564,30","586,58","560,05","303,51K","2,92%"
"07.10.2024","564,30","570,49","581,66","564,01","226,12K","-1,09%"
"06.10.2024","570,49","563,38","571,69","561,39","111,11K","1,26%"
