"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"18.11.2024","0,7372","0,7026","0,7818","0,7017","521,40M","4,93%"
"17.11.2024","0,7026","0,7415","0,7722","0,6925","555,76M","-5,25%"
"16.11.2024","0,7415","0,7064","0,8178","0,7035","1,28B","4,98%"
"15.11.2024","0,7064","0,5789","0,7070","0,5759","1,02B","22,00%"
"14.11.2024","0,5790","0,5783","0,5986","0,5422","451,21M","0,11%"
"13.11.2024","0,5783","0,5700","0,6085","0,5195","719,20M","1,47%"
"12.11.2024","0,5700","0,6125","0,6518","0,5554","831,93M","-6,94%"
"11.11.2024","0,6125","0,5895","0,6234","0,5654","731,67M","3,91%"
"10.11.2024","0,5894","0,4968","0,6591","0,4888","1,33B","18,97%"
"09.11.2024","0,4954","0,4447","0,4976","0,4275","293,02M","11,56%"
"08.11.2024","0,4441","0,4065","0,4580","0,4043","581,86M","9,24%"
"07.11.2024","0,4065","0,3630","0,4066","0,3616","300,17M","11,95%"
"06.11.2024","0,3631","0,3336","0,3658","0,3336","328,19M","8,85%"
"05.11.2024","0,3336","0,3264","0,3382","0,3262","145,26M","2,21%"
"04.11.2024","0,3264","0,3339","0,3367","0,3206","152,67M","-2,25%"
"03.11.2024","0,3339","0,3481","0,3481","0,3278","165,13M","-4,07%"
"02.11.2024","0,3481","0,3575","0,3636","0,3453","134,29M","-2,63%"
"01.11.2024","0,3575","0,3418","0,3618","0,3345","209,97M","4,58%"
"31.10.2024","0,3418","0,3550","0,3610","0,3404","158,65M","-3,72%"
"30.10.2024","0,3550","0,3561","0,3639","0,3507","168,19M","-0,26%"
"29.10.2024","0,3560","0,3437","0,3570","0,3429","159,54M","3,55%"
"28.10.2024","0,3437","0,3400","0,3475","0,3305","153,29M","1,12%"
"27.10.2024","0,3400","0,3337","0,3422","0,3310","85,75M","1,83%"
"26.10.2024","0,3339","0,3260","0,3349","0,3209","156,41M","2,40%"
"25.10.2024","0,3260","0,3465","0,3470","0,3152","233,75M","-5,91%"
"24.10.2024","0,3465","0,3498","0,3549","0,3400","160,13M","-1,00%"
"23.10.2024","0,3500","0,3645","0,3689","0,3430","157,76M","-3,96%"
"22.10.2024","0,3645","0,3608","0,3680","0,3551","156,12M","1,01%"
"21.10.2024","0,3608","0,3650","0,3725","0,3532","162,29M","-1,15%"
"20.10.2024","0,3650","0,3514","0,3657","0,3483","106,05M","3,86%"
"19.10.2024","0,3514","0,3507","0,3570","0,3492","90,02M","0,22%"
"18.10.2024","0,3507","0,3432","0,3530","0,3427","118,12M","2,17%"
"17.10.2024","0,3432","0,3521","0,3549","0,3396","176,94M","-2,56%"
"16.10.2024","0,3522","0,3592","0,3608","0,3510","139,49M","-1,93%"
"15.10.2024","0,3592","0,3644","0,3705","0,3483","209,36M","-1,43%"
"14.10.2024","0,3644","0,3487","0,3653","0,3425","151,78M","4,51%"
"13.10.2024","0,3487","0,3532","0,3595","0,3445","93,75M","-1,28%"
"12.10.2024","0,3532","0,3517","0,3568","0,3511","75,61M","0,44%"
"11.10.2024","0,3517","0,3395","0,3549","0,3384","100,82M","3,56%"
"10.10.2024","0,3396","0,3395","0,3417","0,3327","110,01M","0,03%"
"09.10.2024","0,3395","0,3448","0,3479","0,3343","124,24M","-1,57%"
"08.10.2024","0,3449","0,3512","0,3569","0,3415","117,86M","-1,68%"
"07.10.2024","0,3508","0,3574","0,3679","0,3504","135,63M","-1,85%"
"06.10.2024","0,3574","0,3509","0,3584","0,3479","77,71M","1,86%"
"05.10.2024","0,3509","0,3517","0,3556","0,3457","84,85M","-0,23%"
"04.10.2024","0,3517","0,3452","0,3559","0,3430","120,28M","1,89%"
"03.10.2024","0,3451","0,3433","0,3494","0,3320","158,41M","0,55%"
"02.10.2024","0,3432","0,3523","0,3624","0,3361","191,86M","-2,56%"
"01.10.2024","0,3523","0,3734","0,3859","0,3435","220,25M","-5,67%"
