"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"18.11.2024","6,3979","5,6915","6,5863","5,6734","11,75M","12,42%"
"17.11.2024","5,6910","6,1167","6,6367","5,5831","16,59M","-6,97%"
"16.11.2024","6,1173","5,2618","6,2063","5,2463","10,68M","16,26%"
"15.11.2024","5,2617","4,9481","5,3004","4,8274","9,03M","6,36%"
"14.11.2024","4,9470","5,1217","5,3050","4,8717","8,53M","-3,41%"
"13.11.2024","5,1218","5,3064","5,3625","4,8451","14,55M","-3,48%"
"12.11.2024","5,3064","5,6599","5,8297","5,1248","14,17M","-6,24%"
"11.11.2024","5,6597","5,2676","5,6809","5,1623","10,56M","7,44%"
"10.11.2024","5,2677","4,7954","5,5380","4,7168","17,32M","9,99%"
"09.11.2024","4,7891","4,7179","4,8385","4,6309","6,53M","1,50%"
"08.11.2024","4,7181","4,5280","4,7181","4,4595","6,06M","4,20%"
"07.11.2024","4,5279","4,5124","4,6564","4,4648","5,55M","0,34%"
"06.11.2024","4,5124","4,2034","4,5407","4,2034","8,06M","7,37%"
"05.11.2024","4,2028","3,9158","4,2144","3,9121","4,38M","7,33%"
"04.11.2024","3,9158","3,9770","4,0234","3,8375","4,19M","-1,53%"
"03.11.2024","3,9767","4,0993","4,1184","3,8759","4,33M","-2,98%"
"02.11.2024","4,0989","4,1751","4,2207","4,0511","2,54M","-1,83%"
"01.11.2024","4,1751","4,2368","4,2981","4,1089","4,09M","-1,46%"
"31.10.2024","4,2370","4,4560","4,4717","4,1890","4,62M","-4,92%"
"30.10.2024","4,4561","4,5367","4,5367","4,3779","4,68M","-1,79%"
"29.10.2024","4,5371","4,4579","4,6077","4,4336","6,22M","1,77%"
"28.10.2024","4,4580","4,4541","4,5081","4,2745","4,32M","0,10%"
"27.10.2024","4,4535","4,3719","4,4708","4,3227","2,51M","1,86%"
"26.10.2024","4,3722","4,4149","4,5073","4,3070","4,13M","-0,99%"
"25.10.2024","4,4158","4,8496","4,8567","4,2704","5,83M","-8,94%"
"24.10.2024","4,8492","4,6194","4,8501","4,5676","3,82M","4,97%"
"23.10.2024","4,6196","4,7871","4,8554","4,5600","4,93M","-3,50%"
"22.10.2024","4,7870","4,8991","4,9655","4,7048","5,26M","-2,29%"
"21.10.2024","4,8990","4,6940","5,1048","4,6890","10,91M","4,37%"
"20.10.2024","4,6940","4,4661","4,6943","4,3928","4,04M","5,10%"
"19.10.2024","4,4662","4,3530","4,4911","4,3500","2,89M","2,60%"
"18.10.2024","4,3530","4,3043","4,3947","4,2872","4,73M","1,13%"
"17.10.2024","4,3042","4,4381","4,4685","4,2388","3,54M","-3,02%"
"16.10.2024","4,4383","4,4849","4,5166","4,3904","3,74M","-1,04%"
"15.10.2024","4,4849","4,5164","4,5866","4,3717","5,20M","-0,69%"
"14.10.2024","4,5162","4,3413","4,5328","4,2988","4,15M","4,03%"
"13.10.2024","4,3413","4,3485","4,3667","4,2196","2,76M","-0,20%"
"12.10.2024","4,3500","4,2770","4,3910","4,2734","2,50M","1,70%"
"11.10.2024","4,2772","4,1342","4,2988","4,1119","3,24M","3,46%"
"10.10.2024","4,1343","4,2302","4,2929","4,0516","4,40M","-2,27%"
"09.10.2024","4,2304","4,3547","4,3915","4,1720","4,05M","-2,87%"
"08.10.2024","4,3555","4,4214","4,4705","4,3269","4,10M","-1,49%"
"07.10.2024","4,4215","4,6510","4,7923","4,4146","5,73M","-4,92%"
