"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"18.11.2024","0,16987","0,15993","0,18996","0,15951","264,15M","6,22%"
"17.11.2024","0,15992","0,16529","0,16534","0,15306","91,56M","-3,03%"
"16.11.2024","0,16491","0,16703","0,17542","0,15856","130,20M","-1,22%"
"15.11.2024","0,16696","0,14993","0,17967","0,14301","302,47M","11,70%"
"14.11.2024","0,14947","0,17336","0,17336","0,14706","208,60M","-13,45%"
"13.11.2024","0,17271","0,17625","0,19558","0,15571","436,36M","-2,07%"
"12.11.2024","0,17636","0,20621","0,22302","0,15984","794,05M","-14,51%"
"11.11.2024","0,20630","0,12394","0,22188","0,12067","969,79M","66,41%"
"10.11.2024","0,12397","0,10360","0,13472","0,10180","349,95M","19,68%"
"09.11.2024","0,10358","0,10880","0,10888","0,10116","112,88M","-4,63%"
"08.11.2024","0,10861","0,09216","0,11478","0,08978","354,06M","17,85%"
"07.11.2024","0,09216","0,08563","0,09399","0,08487","124,83M","7,62%"
"06.11.2024","0,08564","0,07224","0,09560","0,07224","249,90M","18,50%"
"05.11.2024","0,07227","0,07056","0,07288","0,07051","18,17M","2,43%"
"04.11.2024","0,07056","0,07183","0,07235","0,07000","17,33M","-1,77%"
"03.11.2024","0,07183","0,07240","0,07245","0,07050","18,86M","-0,78%"
"02.11.2024","0,07239","0,07335","0,07383","0,07198","12,51M","-1,31%"
"01.11.2024","0,07336","0,07305","0,07446","0,07212","22,52M","0,41%"
"31.10.2024","0,07305","0,07554","0,07579","0,07280","24,37M","-3,33%"
"30.10.2024","0,07557","0,07678","0,07709","0,07503","25,35M","-1,55%"
"29.10.2024","0,07676","0,07460","0,07706","0,07439","28,10M","2,88%"
"28.10.2024","0,07462","0,07424","0,07463","0,07298","15,91M","0,50%"
"27.10.2024","0,07425","0,07287","0,07484","0,07275","13,24M","1,88%"
"26.10.2024","0,07288","0,07197","0,07379","0,07125","19,59M","1,08%"
"25.10.2024","0,07210","0,07591","0,07606","0,07090","33,79M","-5,03%"
"24.10.2024","0,07591","0,07577","0,07659","0,07537","18,80M","0,19%"
"23.10.2024","0,07577","0,07714","0,07724","0,07410","18,32M","-1,79%"
"22.10.2024","0,07715","0,07752","0,07822","0,07666","13,58M","-0,47%"
"21.10.2024","0,07751","0,07938","0,07966","0,07720","17,03M","-2,36%"
"20.10.2024","0,07938","0,07738","0,07940","0,07712","14,92M","0,47%"
"19.10.2024","0,07901","0,07817","0,07921","0,07815","15,25M","1,07%"
"18.10.2024","0,07817","0,07748","0,07851","0,07729","14,05M","0,88%"
"17.10.2024","0,07749","0,07869","0,07926","0,07723","22,65M","-1,53%"
"16.10.2024","0,07870","0,07809","0,07926","0,07752","21,97M","0,77%"
"15.10.2024","0,07809","0,07850","0,07895","0,07622","28,55M","-0,52%"
"14.10.2024","0,07850","0,07593","0,07902","0,07534","20,81M","3,39%"
"13.10.2024","0,07593","0,07722","0,07752","0,07513","14,86M","-1,66%"
"12.10.2024","0,07721","0,07750","0,07795","0,07684","13,29M","-0,29%"
"11.10.2024","0,07744","0,07599","0,07821","0,07538","18,71M","1,92%"
"10.10.2024","0,07598","0,07522","0,07604","0,07435","20,81M","1,02%"
"09.10.2024","0,07522","0,07621","0,07718","0,07423","28,66M","-1,32%"
"08.10.2024","0,07622","0,07837","0,07915","0,07413","59,18M","-2,73%"
"07.10.2024","0,07836","0,08064","0,08149","0,07833","20,28M","-2,79%"
"06.10.2024","0,08061","0,08007","0,08078","0,07945","10,70M","0,65%"
"05.10.2024","0,08008","0,08107","0,08132","0,07964","9,88M","-1,21%"
"04.10.2024","0,08106","0,07913","0,08110","0,07869","16,99M","2,51%"
"03.10.2024","0,07908","0,07918","0,07986","0,07674","31,88M","-0,16%"
"02.10.2024","0,07920","0,07982","0,08166","0,07794","26,13M","-0,78%"
"01.10.2024","0,07982","0,08341","0,08555","0,07873","40,63M","-4,30%"
"30.09.2024","0,08341","0,08616","0,08639","0,08337","21,15M","-3,20%"
"29.09.2024","0,08617","0,08634","0,08700","0,08529","13,92M","-0,21%"
"28.09.2024","0,08635","0,08788","0,08840","0,08575","20,70M","-1,74%"
"27.09.2024","0,08789","0,08715","0,08831","0,08652","29,75M","0,84%"
"26.09.2024","0,08715","0,08463","0,08743","0,08418","24,16M","2,98%"
"25.09.2024","0,08463","0,08658","0,08712","0,08458","24,46M","-2,30%"
"24.09.2024","0,08662","0,08583","0,08669","0,08392","19,90M","0,91%"
"23.09.2024","0,08584","0,08587","0,08719","0,08398","30,97M","0,14%"
"22.09.2024","0,08572","0,08815","0,08995","0,08333","60,50M","-2,76%"
"21.09.2024","0,08815","0,08465","0,08821","0,08390","28,46M","4,22%"
"20.09.2024","0,08458","0,08276","0,08494","0,08215","25,64M","2,20%"
"19.09.2024","0,08276","0,08073","0,08343","0,08064","25,10M","2,57%"
"18.09.2024","0,08069","0,07987","0,08070","0,07829","13,64M","1,02%"
"17.09.2024","0,07988","0,07910","0,08166","0,07868","15,99M","0,97%"
"16.09.2024","0,07911","0,08054","0,08060","0,07898","16,05M","-1,76%"
"15.09.2024","0,08053","0,08239","0,08300","0,08001","12,55M","-2,26%"
"14.09.2024","0,08239","0,08351","0,08390","0,08135","16,74M","-1,43%"
"13.09.2024","0,08359","0,07951","0,08397","0,07951","36,57M","5,14%"
"12.09.2024","0,07950","0,07825","0,08001","0,07820","17,78M","1,64%"
"11.09.2024","0,07822","0,07948","0,07971","0,07689","17,82M","-1,59%"
