"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"18.11.2024","0,9996","0,9998","1,0005","0,9996","1,58M","-0,02%"
"17.11.2024","0,9998","0,9998","1,0008","0,9996","735,47K","0,00%"
"16.11.2024","0,9998","0,9999","1,0008","0,9997","1,07M","-0,01%"
"15.11.2024","0,9999","1,0000","1,0004","0,9996","2,30M","-0,01%"
"14.11.2024","1,0000","1,0001","1,0004","0,9996","3,31M","-0,01%"
"13.11.2024","1,0001","0,9998","1,0004","0,9996","1,83M","0,02%"
"12.11.2024","0,9998","0,9997","1,0007","0,9996","1,77M","0,01%"
"11.11.2024","0,9998","0,9999","1,0004","0,9995","1,92M","-0,01%"
"10.11.2024","0,9999","0,9998","1,0006","0,9989","1,47M","0,01%"
"09.11.2024","0,9998","0,9999","1,0006","0,9994","737,27K","-0,01%"
"08.11.2024","0,9999","0,9998","1,0003","0,9996","474,13K","0,01%"
"07.11.2024","0,9998","0,9998","1,0004","0,9995","1,90M","0,00%"
"06.11.2024","0,9998","0,9994","1,0003","0,9992","1,29M","0,04%"
"05.11.2024","0,9994","0,9998","1,0002","0,9992","703,60K","-0,04%"
"04.11.2024","0,9998","0,9998","1,0002","0,9995","660,58K","0,00%"
"03.11.2024","0,9998","0,9999","1,0000","0,9993","742,71K","-0,01%"
"02.11.2024","0,9999","0,9998","0,9999","0,9996","813,74K","0,01%"
"01.11.2024","0,9998","0,9999","1,0005","0,9993","711,88K","-0,01%"
"31.10.2024","0,9999","0,9997","1,0007","0,9994","1,06M","-0,01%"
"30.10.2024","0,9999","0,9998","1,0048","0,9997","914,17K","0,01%"
"29.10.2024","0,9998","1,0000","1,0022","0,9997","1,20M","-0,02%"
"28.10.2024","1,0000","0,9999","1,0001","0,9993","682,39K","0,02%"
"27.10.2024","0,9999","0,9997","0,9999","0,9994","436,40K","0,02%"
"26.10.2024","0,9997","1,0000","1,0001","0,9995","776,91K","-0,04%"
"25.10.2024","1,0000","0,9999","1,0001","0,9993","746,02K","0,01%"
"24.10.2024","0,9999","0,9998","1,0001","0,9996","623,54K","0,01%"
"23.10.2024","0,9998","0,9998","1,0004","0,9993","624,55K","0,00%"
"22.10.2024","0,9998","0,9997","0,9999","0,9995","484,13K","0,00%"
"21.10.2024","0,9997","1,0000","1,0000","0,9991","815,00K","-0,02%"
"20.10.2024","1,0000","0,9998","1,0003","0,9995","154,90K","0,02%"
"19.10.2024","0,9998","0,9998","1,0002","0,9997","254,26K","0,00%"
"18.10.2024","0,9998","0,9997","1,0001","0,9997","661,00K","0,01%"
"17.10.2024","0,9997","0,9997","0,9999","0,9996","483,91K","0,01%"
"16.10.2024","0,9997","0,9998","0,9999","0,9994","611,22K","-0,01%"
"15.10.2024","0,9998","1,0001","1,0002","0,9996","1,73M","-0,03%"
"14.10.2024","1,0001","0,9992","1,0005","0,9991","1,15M","0,09%"
"13.10.2024","0,9992","0,9998","1,0000","0,9981","725,88K","-0,06%"
"12.10.2024","0,9998","0,9997","1,0000","0,9992","4,50M","0,01%"
"11.10.2024","0,9997","0,9995","1,0000","0,9992","466,16K","0,02%"
"10.10.2024","0,9995","0,9998","1,0009","0,9989","477,28K","-0,03%"
"09.10.2024","0,9998","0,9993","0,9999","0,9992","276,58K","0,05%"
"08.10.2024","0,9993","0,9994","0,9998","0,9987","336,92K","-0,01%"
"07.10.2024","0,9994","0,9997","0,9999","0,9988","577,63K","-0,04%"
"06.10.2024","0,9998","0,9995","1,0000","0,9985","288,55K","0,03%"
"05.10.2024","0,9995","0,9997","1,0001","0,9994","122,04K","-0,02%"
"04.10.2024","0,9997","0,9999","1,0004","0,9994","693,92K","-0,02%"
"03.10.2024","0,9999","1,0000","1,0003","0,9997","402,88K","0,00%"
"02.10.2024","0,9999","0,9998","1,0001","0,9994","473,77K","0,01%"
"01.10.2024","0,9998","0,9998","1,0006","0,9996","819,09K","0,01%"
"30.09.2024","0,9997","0,9998","1,0003","0,9993","787,68K","-0,01%"
"29.09.2024","0,9998","0,9998","0,9999","0,9987","273,13K","0,00%"
"28.09.2024","0,9998","1,0000","1,0038","0,9993","920,56K","-0,06%"
"27.09.2024","1,0004","0,9998","1,0050","0,9996","443,64K","0,06%"
"26.09.2024","0,9998","0,9998","1,0001","0,9992","994,29K","-0,01%"
"25.09.2024","0,9998","0,9998","1,0005","0,9996","1,24M","0,00%"
"24.09.2024","0,9998","0,9998","1,0002","0,9997","574,67K","0,00%"
"23.09.2024","0,9998","0,9998","1,0002","0,9996","508,86K","0,00%"
"22.09.2024","0,9998","0,9995","1,0001","0,9986","114,99K","0,03%"
"21.09.2024","0,9995","0,9998","0,9999","0,9952","344,02K","-0,03%"
"20.09.2024","0,9998","0,9998","0,9999","0,9996","430,71K","0,00%"
"19.09.2024","0,9998","1,0000","1,0001","0,9995","487,00K","-0,02%"
"18.09.2024","1,0000","0,9998","1,0001","0,9998","243,49K","0,02%"
"17.09.2024","0,9998","0,9999","1,0000","0,9997","195,87K","-0,01%"
"16.09.2024","0,9999","0,9998","1,0094","0,9997","866,49K","0,01%"
"15.09.2024","0,9998","1,0000","1,0000","0,9995","185,84K","-0,02%"
"14.09.2024","1,0000","1,0001","1,0002","0,9974","206,18K","-0,02%"
"13.09.2024","1,0001","1,0000","1,0002","0,9971","335,83K","0,02%"
"12.09.2024","1,0000","0,9998","1,0002","0,9997","209,55K","0,02%"
"11.09.2024","0,9998","0,9999","0,9999","0,9995","219,33K","0,00%"
"10.09.2024","0,9999","0,9998","1,0003","0,9997","402,60K","0,01%"
"09.09.2024","0,9998","0,9998","1,0003","0,9998","407,27K","0,00%"
"08.09.2024","0,9998","1,0005","1,0009","0,9996","223,61K","-0,06%"
"07.09.2024","1,0005","0,9997","1,0036","0,9995","1,48M","0,08%"
"06.09.2024","0,9997","0,9997","1,0002","0,9993","390,01K","-0,01%"
"05.09.2024","0,9997","0,9999","1,0000","0,9996","432,44K","-0,01%"
"04.09.2024","0,9999","0,9998","1,0001","0,9996","318,59K","0,01%"
"03.09.2024","0,9998","0,9999","1,0001","0,9997","350,15K","-0,01%"
"02.09.2024","0,9999","0,9998","1,0001","0,9997","2,23M","0,01%"
"01.09.2024","0,9998","0,9993","0,9999","0,9993","827,97K","0,05%"
"31.08.2024","0,9993","0,9996","0,9999","0,9992","247,20K","-0,03%"
"30.08.2024","0,9996","0,9999","1,0001","0,9996","497,65K","-0,03%"
"29.08.2024","0,9999","0,9996","1,0001","0,9993","786,25K","0,03%"
