"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"18.11.2024","0,4120","0,3919","0,4293","0,3874","53,66M","5,14%"
"17.11.2024","0,3919","0,4360","0,4360","0,3831","60,75M","-10,12%"
"16.11.2024","0,4360","0,3486","0,4552","0,3468","204,45M","25,08%"
"15.11.2024","0,3486","0,3265","0,3486","0,3211","35,13M","6,66%"
"14.11.2024","0,3268","0,3355","0,3473","0,3182","34,59M","-2,53%"
"13.11.2024","0,3353","0,3611","0,3690","0,3206","47,93M","-7,16%"
"12.11.2024","0,3611","0,3633","0,3960","0,3454","63,13M","-0,58%"
"11.11.2024","0,3632","0,3494","0,3636","0,3410","40,49M","3,96%"
"10.11.2024","0,3494","0,3229","0,3606","0,3176","41,56M","8,20%"
"09.11.2024","0,3229","0,3120","0,3229","0,3068","14,29M","3,51%"
"08.11.2024","0,3120","0,3014","0,3132","0,2971","16,64M","3,50%"
"07.11.2024","0,3014","0,2997","0,3076","0,2962","13,10M","0,59%"
"06.11.2024","0,2997","0,2731","0,3021","0,2731","22,72M","9,73%"
"05.11.2024","0,2731","0,2641","0,2769","0,2637","10,51M","3,39%"
"04.11.2024","0,2641","0,2699","0,2737","0,2583","9,03M","-2,12%"
"03.11.2024","0,2699","0,2819","0,2831","0,2617","11,17M","-4,27%"
"02.11.2024","0,2819","0,2881","0,2907","0,2786","3,85M","-2,12%"
"01.11.2024","0,2880","0,2885","0,2948","0,2819","7,17M","-0,19%"
"31.10.2024","0,2885","0,3050","0,3050","0,2854","8,47M","-5,38%"
"30.10.2024","0,3049","0,3106","0,3113","0,3005","6,81M","-1,82%"
"29.10.2024","0,3106","0,2976","0,3139","0,2966","10,34M","4,35%"
"28.10.2024","0,2976","0,2918","0,3004","0,2818","11,55M","2,02%"
"27.10.2024","0,2918","0,2876","0,2979","0,2858","7,12M","1,44%"
"26.10.2024","0,2876","0,2850","0,2902","0,2785","10,46M","0,91%"
"25.10.2024","0,2850","0,3118","0,3125","0,2792","16,52M","-8,58%"
"24.10.2024","0,3118","0,3109","0,3206","0,3095","12,06M","0,26%"
"23.10.2024","0,3109","0,3296","0,3305","0,3032","16,71M","-5,66%"
"22.10.2024","0,3296","0,3159","0,3307","0,3112","20,24M","4,34%"
"21.10.2024","0,3159","0,3294","0,3398","0,3139","22,40M","-4,12%"
"20.10.2024","0,3294","0,3250","0,3333","0,3200","20,94M","1,38%"
"19.10.2024","0,3250","0,3376","0,3478","0,3217","42,74M","-3,75%"
"18.10.2024","0,3376","0,2939","0,3421","0,2923","36,02M","14,88%"
"17.10.2024","0,2939","0,3063","0,3116","0,2896","9,79M","-4,06%"
"16.10.2024","0,3063","0,3056","0,3093","0,2977","11,79M","0,25%"
"15.10.2024","0,3056","0,3099","0,3110","0,2943","11,41M","-1,40%"
"14.10.2024","0,3099","0,2956","0,3114","0,2920","11,23M","4,84%"
"13.10.2024","0,2956","0,2982","0,3015","0,2906","5,14M","-0,87%"
"12.10.2024","0,2982","0,2938","0,3021","0,2938","4,88M","1,50%"
"11.10.2024","0,2938","0,2819","0,2961","0,2809","5,63M","4,24%"
"10.10.2024","0,2819","0,2788","0,2827","0,2723","6,77M","1,10%"
