"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"18.11.2024","0,7124","0,6425","0,7583","0,6406","45,86M","10,90%"
"17.11.2024","0,6424","0,6926","0,6947","0,6309","25,10M","-7,28%"
"16.11.2024","0,6928","0,6241","0,6952","0,6214","34,01M","10,94%"
"15.11.2024","0,6245","0,5717","0,6270","0,5570","30,99M","9,23%"
"14.11.2024","0,5717","0,5931","0,6089","0,5619","31,57M","-3,57%"
"13.11.2024","0,5929","0,6132","0,6298","0,5612","44,08M","-3,31%"
"12.11.2024","0,6132","0,6335","0,6526","0,5839","57,07M","-3,20%"
"11.11.2024","0,6335","0,6050","0,6357","0,5946","68,90M","4,72%"
"10.11.2024","0,6049","0,5645","0,6266","0,5583","70,16M","7,13%"
"09.11.2024","0,5646","0,5474","0,5667","0,5379","21,63M","3,15%"
"08.11.2024","0,5474","0,5435","0,5517","0,5301","27,58M","0,75%"
"07.11.2024","0,5434","0,5438","0,5534","0,5323","28,17M","-0,07%"
"06.11.2024","0,5438","0,5020","0,5460","0,5019","58,95M","8,32%"
"05.11.2024","0,5020","0,4794","0,5039","0,4784","19,76M","4,70%"
"04.11.2024","0,4795","0,4869","0,4974","0,4707","29,81M","-1,51%"
"03.11.2024","0,4868","0,5099","0,5108","0,4774","25,92M","-4,49%"
"02.11.2024","0,5097","0,5124","0,5233","0,5064","14,82M","-0,53%"
"01.11.2024","0,5124","0,5137","0,5294","0,5047","26,33M","-0,26%"
"31.10.2024","0,5137","0,5451","0,5485","0,5114","25,07M","-5,75%"
"30.10.2024","0,5451","0,5495","0,5564","0,5400","20,68M","-0,79%"
"29.10.2024","0,5494","0,5268","0,5534","0,5262","18,45M","4,29%"
"28.10.2024","0,5268","0,5215","0,5320","0,5089","18,25M","0,97%"
"27.10.2024","0,5218","0,5151","0,5264","0,5113","12,73M","1,30%"
"26.10.2024","0,5151","0,5175","0,5259","0,5052","19,38M","-0,51%"
"25.10.2024","0,5177","0,5548","0,5587","0,5033","26,35M","-6,73%"
"24.10.2024","0,5550","0,5437","0,5599","0,5395","17,23M","2,08%"
"23.10.2024","0,5437","0,5710","0,5719","0,5351","19,96M","-4,81%"
"22.10.2024","0,5712","0,5722","0,5800","0,5577","24,33M","-0,19%"
"21.10.2024","0,5723","0,5952","0,6002","0,5690","23,75M","-3,84%"
"20.10.2024","0,5951","0,5632","0,5975","0,5574","18,40M","5,67%"
"19.10.2024","0,5632","0,5589","0,5732","0,5566","14,70M","0,77%"
"18.10.2024","0,5589","0,5377","0,5595","0,5353","14,40M","3,91%"
