"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"18.11.2024","25,160","24,570","25,970","24,220","1,64M","2,44%"
"17.11.2024","24,560","25,850","27,150","24,260","1,76M","-4,92%"
"16.11.2024","25,830","24,590","25,980","24,270","1,35M","4,83%"
"15.11.2024","24,640","23,280","24,960","22,510","1,18M","5,89%"
"14.11.2024","23,270","24,140","25,740","22,900","1,56M","-3,60%"
"13.11.2024","24,140","24,480","26,970","22,330","3,51M","-1,31%"
"12.11.2024","24,460","26,820","26,870","23,470","3,06M","-8,94%"
"11.11.2024","26,860","25,620","27,030","24,840","2,34M","4,27%"
"10.11.2024","25,760","23,820","26,460","23,300","2,93M","8,24%"
"09.11.2024","23,800","22,430","23,810","21,850","1,02M","6,16%"
"08.11.2024","22,420","21,620","22,960","21,610","1,42M","3,84%"
"07.11.2024","21,590","21,240","21,920","20,560","1,06M","1,74%"
"06.11.2024","21,220","17,360","21,450","17,340","3,50M","22,59%"
"05.11.2024","17,310","16,370","17,610","16,330","952,00K","5,81%"
"04.11.2024","16,360","16,860","17,190","16,020","743,15K","-3,02%"
"03.11.2024","16,870","17,980","18,020","16,130","1,23M","-6,02%"
"02.11.2024","17,950","18,730","18,870","17,770","568,75K","-4,16%"
"01.11.2024","18,730","19,040","19,800","18,390","696,42K","-1,63%"
"31.10.2024","19,040","19,880","19,920","18,790","612,10K","-4,18%"
"30.10.2024","19,870","20,290","20,320","19,430","645,08K","-2,12%"
"29.10.2024","20,300","19,220","20,500","19,190","838,10K","5,62%"
"28.10.2024","19,220","18,990","19,350","18,260","572,80K","1,32%"
"27.10.2024","18,970","18,390","19,120","18,260","370,91K","3,15%"
"26.10.2024","18,390","18,140","18,800","17,930","714,70K","0,88%"
"25.10.2024","18,230","20,410","20,500","17,570","1,27M","-10,68%"
"24.10.2024","20,410","20,160","20,580","19,840","478,97K","1,24%"
"23.10.2024","20,160","20,970","21,000","19,590","661,41K","-3,72%"
"22.10.2024","20,940","21,270","21,600","20,680","660,82K","-1,51%"
"21.10.2024","21,260","22,180","22,350","21,100","833,23K","-4,10%"
"20.10.2024","22,170","22,270","22,480","21,670","830,47K","-0,27%"
"19.10.2024","22,230","22,070","22,320","21,670","514,81K","0,68%"
"18.10.2024","22,080","21,340","22,330","21,000","1,04M","3,42%"
"17.10.2024","21,350","20,900","23,310","20,320","3,73M","2,20%"
"16.10.2024","20,890","21,410","21,490","20,580","862,84K","-2,34%"
"15.10.2024","21,390","21,790","22,320","20,760","1,53M","-1,66%"
"14.10.2024","21,750","20,340","21,980","20,050","1,19M","7,04%"
"13.10.2024","20,320","20,400","20,680","19,670","692,51K","-0,34%"
"12.10.2024","20,390","20,460","21,040","20,330","640,91K","-0,15%"
"11.10.2024","20,420","19,240","20,620","19,090","680,09K","6,13%"
"10.10.2024","19,240","19,320","19,790","18,560","875,00K","-0,36%"
"09.10.2024","19,310","19,510","20,070","19,090","716,66K","-0,92%"
"08.10.2024","19,490","20,570","20,860","19,220","1,20M","-5,11%"
"07.10.2024","20,540","20,710","21,710","20,380","1,00M","-1,06%"
"06.10.2024","20,760","19,870","20,850","19,650","421,79K","4,37%"
"05.10.2024","19,890","20,380","20,520","19,580","412,82K","-2,36%"
"04.10.2024","20,370","19,020","20,590","18,890","1,01M","7,04%"
"03.10.2024","19,030","20,230","20,540","18,550","1,59M","-5,75%"
"02.10.2024","20,190","20,680","22,360","19,830","1,63M","-2,46%"
"01.10.2024","20,700","22,900","24,860","20,240","2,27M","-9,65%"
"30.09.2024","22,910","23,250","23,890","22,400","1,11M","-1,42%"
"29.09.2024","23,240","22,860","23,740","22,250","618,29K","1,66%"
"28.09.2024","22,860","23,630","23,980","22,510","620,68K","-3,14%"
"27.09.2024","23,600","23,060","23,860","22,740","1,11M","2,39%"
"26.09.2024","23,050","22,580","23,760","22,080","1,91M","2,54%"
"25.09.2024","22,480","21,830","23,230","21,230","2,16M","2,93%"
"24.09.2024","21,840","22,470","22,790","21,500","1,19M","-2,67%"
"23.09.2024","22,440","21,720","22,570","21,110","1,25M","3,36%"
"22.09.2024","21,710","21,200","21,910","20,550","1,12M","2,55%"
"21.09.2024","21,170","21,060","21,660","20,490","559,07K","0,52%"
"20.09.2024","21,060","20,470","21,390","20,120","1,07M","3,03%"
"19.09.2024","20,440","19,840","21,020","19,780","1,42M","3,08%"
"18.09.2024","19,830","19,510","19,830","18,210","1,02M","1,69%"
"17.09.2024","19,500","18,010","19,950","17,740","1,16M","8,33%"
"16.09.2024","18,000","18,660","18,920","17,820","924,55K","-3,59%"
"15.09.2024","18,670","19,600","20,190","18,510","1,12M","-4,79%"
"14.09.2024","19,610","19,840","20,100","19,220","626,85K","-1,01%"
"13.09.2024","19,810","19,360","20,100","18,500","1,35M","2,38%"
"12.09.2024","19,350","18,720","19,450","18,710","957,39K","3,31%"
"11.09.2024","18,730","18,180","19,020","17,630","1,47M","2,97%"
"10.09.2024","18,190","17,300","18,480","16,970","978,60K","5,27%"
"09.09.2024","17,280","16,250","17,620","16,050","1,05M","6,47%"
"08.09.2024","16,230","16,020","16,620","15,930","520,08K","1,31%"
"07.09.2024","16,020","16,170","16,650","15,830","508,25K","-1,11%"
"06.09.2024","16,200","17,010","17,350","15,600","1,31M","-4,76%"
"05.09.2024","17,010","17,300","17,450","16,750","756,75K","-1,79%"
"04.09.2024","17,320","15,890","17,600","15,030","1,65M","9,14%"
"03.09.2024","15,870","17,170","17,520","15,810","992,33K","-7,57%"
"02.09.2024","17,170","16,430","17,430","16,350","765,55K","4,50%"
"01.09.2024","16,430","17,260","17,330","16,300","598,03K","-4,81%"
"31.08.2024","17,260","17,390","17,620","17,030","264,35K","-0,80%"
"30.08.2024","17,400","17,440","18,000","16,650","845,45K","-0,34%"
"29.08.2024","17,460","17,950","18,640","17,250","787,32K","-2,73%"
"28.08.2024","17,950","18,970","19,300","17,570","1,61M","-5,58%"
"27.08.2024","19,010","20,660","21,290","18,810","1,45M","-7,94%"
"26.08.2024","20,650","22,420","22,730","20,600","826,54K","-7,77%"
"25.08.2024","22,390","22,190","22,880","20,960","893,05K","0,95%"
"24.08.2024","22,180","22,170","22,970","21,680","795,10K","0,09%"
"23.08.2024","22,160","20,060","22,350","20,040","1,13M","10,52%"
"22.08.2024","20,050","19,680","20,650","19,420","842,45K","1,98%"
"21.08.2024","19,660","18,430","19,850","18,250","754,39K","6,73%"
"20.08.2024","18,420","18,150","19,080","18,010","850,07K","1,43%"
"19.08.2024","18,160","17,830","18,190","17,520","580,27K","1,85%"
"18.08.2024","17,830","18,590","18,780","17,830","478,37K","-4,24%"
"17.08.2024","18,620","17,840","18,640","17,780","370,78K","4,20%"
"16.08.2024","17,870","18,120","19,230","17,300","1,21M","-1,38%"
"15.08.2024","18,120","18,670","19,250","17,820","1,12M","-2,95%"
"14.08.2024","18,670","19,440","19,910","18,600","829,69K","-4,06%"
"13.08.2024","19,460","18,430","19,560","18,050","1,04M","5,08%"
"12.08.2024","18,520","17,640","19,270","17,620","1,13M","4,93%"
"11.08.2024","17,650","19,220","19,390","17,630","877,60K","-8,26%"
"10.08.2024","19,240","18,140","19,380","17,550","1,16M","5,89%"
"09.08.2024","18,170","18,370","18,440","17,110","1,33M","-1,25%"
"08.08.2024","18,400","14,930","18,400","14,660","1,49M","23,49%"
"07.08.2024","14,900","16,040","16,650","14,640","1,44M","-7,11%"
"06.08.2024","16,040","15,320","16,960","15,320","1,57M","4,77%"
"05.08.2024","15,310","17,630","17,880","13,560","4,57M","-13,16%"
"04.08.2024","17,630","18,480","18,720","16,820","1,44M","-4,65%"
"03.08.2024","18,490","19,780","20,030","17,920","1,01M","-6,52%"
"02.08.2024","19,780","21,670","21,770","19,500","1,32M","-8,72%"
"01.08.2024","21,670","21,970","22,340","20,240","1,35M","-1,37%"
"31.07.2024","21,970","23,170","23,580","21,950","766,73K","-5,22%"
"30.07.2024","23,180","24,170","24,800","22,910","694,59K","-4,06%"
"29.07.2024","24,160","24,220","26,060","24,160","919,96K","-0,17%"
"28.07.2024","24,200","25,280","25,430","24,000","474,35K","-4,35%"
"27.07.2024","25,300","25,700","26,110","24,240","1,08M","-1,82%"
"26.07.2024","25,770","23,830","26,130","23,780","1,00M","8,14%"
"25.07.2024","23,830","23,920","24,630","22,950","1,22M","-0,38%"
"24.07.2024","23,920","24,060","25,820","23,720","890,79K","-0,62%"
"23.07.2024","24,070","25,800","26,150","23,610","1,36M","-6,74%"
"22.07.2024","25,810","27,430","27,530","25,690","854,86K","-6,04%"
"21.07.2024","27,470","27,610","28,020","26,230","839,32K","-0,54%"
"20.07.2024","27,620","26,390","28,040","26,230","946,95K","4,58%"
"19.07.2024","26,410","26,910","27,380","25,620","1,20M","-1,89%"
"18.07.2024","26,920","25,660","27,060","25,070","991,99K","5,03%"
"17.07.2024","25,630","24,900","26,760","24,860","1,92M","2,93%"
"16.07.2024","24,900","23,000","24,920","22,630","1,71M","8,26%"
"15.07.2024","23,000","21,650","23,110","21,540","917,92K","6,28%"
