"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"18.11.2024","0,172774","0,150315","0,174980","0,148647","278,07M","15,04%"
"17.11.2024","0,150185","0,146737","0,155842","0,140599","165,35M","2,27%"
"16.11.2024","0,146852","0,138913","0,149146","0,135854","165,94M","5,71%"
"15.11.2024","0,138920","0,140767","0,142546","0,126783","281,89M","-1,28%"
"14.11.2024","0,140725","0,128400","0,152756","0,122035","384,35M","9,80%"
"13.11.2024","0,128169","0,137974","0,141384","0,124100","320,93M","-7,06%"
"12.11.2024","0,137912","0,153039","0,153283","0,132523","435,35M","-9,88%"
"11.11.2024","0,153037","0,151667","0,157354","0,147109","456,39M","0,84%"
"10.11.2024","0,151764","0,134400","0,162672","0,132213","1,34B","13,03%"
"09.11.2024","0,134268","0,112017","0,136209","0,109795","659,59M","19,85%"
"08.11.2024","0,112027","0,114502","0,116035","0,107100","362,29M","-2,18%"
"07.11.2024","0,114523","0,120000","0,123700","0,112289","326,10M","-4,54%"
"06.11.2024","0,119967","0,110934","0,126441","0,110845","122,74M","8,11%"
"05.11.2024","0,110969","0,103610","0,113950","0,103610","59,47M","7,10%"
"04.11.2024","0,103610","0,108300","0,110701","0,101235","69,06M","-4,33%"
"03.11.2024","0,108300","0,112813","0,113069","0,105983","52,38M","-3,98%"
"02.11.2024","0,112784","0,116690","0,118033","0,111202","34,81M","-3,39%"
"01.11.2024","0,116743","0,114468","0,123002","0,113281","103,42M","2,06%"
"31.10.2024","0,114389","0,112877","0,118297","0,112000","98,60M","1,49%"
"30.10.2024","0,112711","0,112740","0,114221","0,104958","106,78M","-0,14%"
"29.10.2024","0,112871","0,119230","0,121932","0,107825","133,80M","-5,25%"
"28.10.2024","0,119127","0,121252","0,122122","0,116159","58,20M","-1,79%"
"27.10.2024","0,121300","0,118233","0,125141","0,116368","48,92M","2,67%"
"26.10.2024","0,118144","0,112700","0,122401","0,110110","108,07M","4,40%"
"25.10.2024","0,113164","0,129370","0,131200","0,113164","62,47M","-12,50%"
"24.10.2024","0,129333","0,131177","0,134176","0,129099","37,08M","-1,49%"
"23.10.2024","0,131285","0,136336","0,136773","0,129035","34,50M","-3,69%"
"22.10.2024","0,136309","0,129857","0,138372","0,128341","72,74M","5,04%"
"21.10.2024","0,129770","0,132929","0,135401","0,127455","45,74M","-2,42%"
"20.10.2024","0,132993","0,129241","0,133520","0,126052","44,06M","2,88%"
"19.10.2024","0,129270","0,130460","0,133001","0,127410","28,64M","-0,91%"
"18.10.2024","0,130460","0,125938","0,132895","0,125076","65,37M","3,63%"
"17.10.2024","0,125888","0,131010","0,131750","0,120750","83,34M","-3,92%"
