"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"18.11.2024","155,799","156,459","160,543","152,719","60,99K","-0,42%"
"17.11.2024","156,459","150,603","157,983","147,004","34,05K","3,89%"
"16.11.2024","150,603","141,805","152,294","141,790","40,96K","6,20%"
"15.11.2024","141,805","147,232","149,989","140,597","44,90K","-3,69%"
"14.11.2024","147,232","150,497","150,636","143,795","46,86K","-2,17%"
"13.11.2024","150,497","150,494","152,203","145,075","57,74K","-0,16%"
"12.11.2024","150,741","157,112","159,983","150,628","59,45K","-4,05%"
"11.11.2024","157,112","161,902","162,118","155,630","51,83K","-2,96%"
"10.11.2024","161,902","163,659","165,987","161,507","29,82K","-1,07%"
"09.11.2024","163,659","165,470","165,552","161,611","21,23K","-1,09%"
"08.11.2024","165,470","163,147","166,971","163,127","29,64K","1,42%"
"07.11.2024","163,147","160,840","168,464","160,730","29,18K","1,43%"
"06.11.2024","160,840","158,195","163,669","157,747","39,09K","1,67%"
"05.11.2024","158,196","158,270","162,929","157,060","33,39K","-0,05%"
"04.11.2024","158,270","156,899","161,588","156,271","33,25K","0,87%"
"03.11.2024","156,899","154,159","158,460","153,619","33,24K","1,78%"
"02.11.2024","154,159","156,394","160,094","152,835","38,00K","-1,43%"
"01.11.2024","156,394","155,671","159,804","151,462","51,10K","0,46%"
"31.10.2024","155,671","161,979","162,284","155,089","41,68K","-3,89%"
"30.10.2024","161,979","162,291","164,964","161,414","32,41K","-0,19%"
"29.10.2024","162,291","162,971","165,896","161,974","41,42K","-0,42%"
"28.10.2024","162,971","163,128","164,321","159,865","40,94K","-0,10%"
"27.10.2024","163,128","160,374","164,580","159,883","36,61K","1,78%"
"26.10.2024","160,278","157,706","160,764","156,714","32,68K","1,63%"
"25.10.2024","157,706","157,211","159,857","155,362","34,23K","0,31%"
"24.10.2024","157,211","156,920","158,833","154,444","43,52K","0,19%"
"23.10.2024","156,920","156,882","158,318","154,641","28,90K","0,02%"
