"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"18.11.2024","1,2400","1,2270","1,2590","1,2140","2,68M","1,06%"
"17.11.2024","1,2270","1,2560","1,2670","1,2070","2,01M","-2,31%"
"16.11.2024","1,2560","1,2150","1,2650","1,2050","2,66M","3,37%"
"15.11.2024","1,2150","1,1640","1,2270","1,1480","2,58M","4,38%"
"14.11.2024","1,1640","1,1760","1,2110","1,1540","3,34M","-1,02%"
"13.11.2024","1,1760","1,1880","1,2220","1,1320","3,25M","-1,01%"
"12.11.2024","1,1880","1,2260","1,2460","1,1490","4,19M","-3,10%"
"11.11.2024","1,2260","1,1630","1,2300","1,1310","3,92M","5,51%"
"10.11.2024","1,1620","1,1450","1,1940","1,1180","2,56M","1,48%"
"09.11.2024","1,1450","1,1050","1,1520","1,0970","1,29M","3,62%"
"08.11.2024","1,1050","1,0640","1,1070","1,0600","2,09M","3,85%"
"07.11.2024","1,0640","1,0410","1,0740","1,0310","1,64M","2,21%"
"06.11.2024","1,0410","0,9670","1,0500","0,9650","3,13M","7,54%"
"05.11.2024","0,9680","0,9510","0,9840","0,9410","1,31M","1,79%"
"04.11.2024","0,9510","0,9810","0,9910","0,9380","1,32M","-3,06%"
"03.11.2024","0,9810","0,9920","0,9930","0,9560","1,03M","-1,11%"
"02.11.2024","0,9920","0,9980","1,0040","0,9840","512,13K","-0,60%"
"01.11.2024","0,9980","0,9800","1,0160","0,9650","1,49M","1,84%"
"31.10.2024","0,9800","1,0260","1,0270","0,9750","1,16M","-4,39%"
"30.10.2024","1,0250","1,0180","1,0360","1,0040","1,37M","0,69%"
"29.10.2024","1,0180","1,0000","1,0440","0,9950","2,73M","1,80%"
"28.10.2024","1,0000","0,9830","1,0000","0,9570","1,29M","1,73%"
"27.10.2024","0,9830","0,9730","0,9880","0,9670","547,42K","1,03%"
"26.10.2024","0,9730","0,9570","0,9890","0,9510","795,35K","1,67%"
"25.10.2024","0,9570","1,0000","1,0000","0,9450","1,22M","-4,30%"
"24.10.2024","1,0000","0,9850","1,0040","0,9800","990,20K","1,52%"
"23.10.2024","0,9850","1,0110","1,0130","0,9700","997,13K","-2,57%"
"22.10.2024","1,0110","1,0160","1,0190","0,9920","763,75K","-0,49%"
"21.10.2024","1,0160","1,0410","1,0470","1,0070","967,94K","-2,40%"
"20.10.2024","1,0410","1,0140","1,0510","1,0080","775,21K","2,76%"
"19.10.2024","1,0130","1,0090","1,0190","0,9950","651,21K","0,40%"
"18.10.2024","1,0090","0,9990","1,0100","0,9820","1,01M","1,00%"
"17.10.2024","0,9990","0,9970","1,0060","0,9830","888,57K","0,20%"
"16.10.2024","0,9970","1,0190","1,0230","0,9890","1,61M","-2,16%"
"15.10.2024","1,0190","1,0350","1,0440","1,0000","1,52M","-1,55%"
"14.10.2024","1,0350","0,9930","1,0430","0,9850","1,52M","4,23%"
"13.10.2024","0,9930","1,0000","1,0040","0,9760","774,90K","-0,70%"
"12.10.2024","1,0000","0,9970","1,0060","0,9890","792,34K","0,30%"
"11.10.2024","0,9970","0,9720","1,0000","0,9660","748,80K","2,57%"
"10.10.2024","0,9720","0,9690","0,9840","0,9530","898,84K","0,31%"
