"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"18.11.2024","0,00002016","0,00002120","0,00002270","0,00001975","57.930,12B","-4,91%"
"17.11.2024","0,00002120","0,00002128","0,00002254","0,00001951","61.737,06B","-0,38%"
"16.11.2024","0,00002128","0,00002332","0,00002363","0,00002072","55.079,66B","-8,75%"
"15.11.2024","0,00002332","0,00002061","0,00002386","0,00001883","113.520,69B","13,15%"
"14.11.2024","0,00002061","0,00002077","0,00002579","0,00002010","198.443,96B","-0,77%"
"13.11.2024","0,00002077","0,00001414","0,00002232","0,00001250","275.119,95B","46,78%"
"12.11.2024","0,00001415","0,00001299","0,00001484","0,00001234","133.789,28B","8,68%"
"11.11.2024","0,00001302","0,00001233","0,00001342","0,00001176","96.907,34B","5,60%"
"10.11.2024","0,00001233","0,00001118","0,00001297","0,00001101","104.770,94B","10,29%"
"09.11.2024","0,00001118","0,00001078","0,00001146","0,00001046","49.160,19B","3,71%"
"08.11.2024","0,00001078","0,00001099","0,00001146","0,00001028","49.196,22B","-1,64%"
"07.11.2024","0,00001096","0,00000990","0,00001104","0,00000984","60.464,55B","10,71%"
"06.11.2024","0,00000990","0,00000857","0,00001003","0,00000857","65.055,24B","15,52%"
"05.11.2024","0,00000857","0,00000792","0,00000880","0,00000792","27.669,80B","8,34%"
"04.11.2024","0,00000791","0,00000818","0,00000837","0,00000772","23.260,19B","-3,18%"
"03.11.2024","0,00000817","0,00000871","0,00000872","0,00000787","23.696,47B","-6,20%"
"02.11.2024","0,00000871","0,00000889","0,00000900","0,00000857","11.403,34B","-2,02%"
"01.11.2024","0,00000889","0,00000912","0,00000934","0,00000873","19.730,57B","-2,52%"
"31.10.2024","0,00000912","0,00000965","0,00000970","0,00000901","18.576,79B","-5,49%"
"30.10.2024","0,00000965","0,00000968","0,00001011","0,00000929","30.610,07B","-0,31%"
"29.10.2024","0,00000968","0,00000917","0,00000990","0,00000914","28.199,02B","5,56%"
"28.10.2024","0,00000917","0,00000917","0,00000944","0,00000860","24.316,31B","0,00%"
"27.10.2024","0,00000917","0,00000907","0,00000928","0,00000894","14.018,62B","1,10%"
"26.10.2024","0,00000907","0,00000881","0,00000912","0,00000866","19.975,40B","2,95%"
"25.10.2024","0,00000881","0,00001000","0,00001004","0,00000852","33.063,99B","-11,90%"
"24.10.2024","0,00001000","0,00000981","0,00001008","0,00000970","17.852,93B","1,94%"
"23.10.2024","0,00000981","0,00001007","0,00001011","0,00000943","22.197,05B","-2,58%"
"22.10.2024","0,00001007","0,00001018","0,00001034","0,00000989","16.722,83B","-1,08%"
"21.10.2024","0,00001018","0,00001068","0,00001088","0,00001006","25.298,67B","-4,68%"
"20.10.2024","0,00001068","0,00001049","0,00001078","0,00001013","20.637,56B","1,81%"
"19.10.2024","0,00001049","0,00001050","0,00001093","0,00001033","19.765,77B","-0,10%"
"18.10.2024","0,00001050","0,00000988","0,00001071","0,00000984","32.476,56B","6,28%"
"17.10.2024","0,00000988","0,00001044","0,00001055","0,00000964","29.256,97B","-5,36%"
"16.10.2024","0,00001044","0,00001039","0,00001065","0,00001012","33.607,62B","0,48%"
"15.10.2024","0,00001039","0,00001090","0,00001113","0,00001003","58.930,83B","-4,68%"
"14.10.2024","0,00001090","0,00000969","0,00001105","0,00000955","53.698,10B","12,37%"
"13.10.2024","0,00000970","0,00000990","0,00000999","0,00000938","24.365,57B","-2,02%"
"12.10.2024","0,00000990","0,00000973","0,00001022","0,00000969","27.486,04B","1,75%"
"11.10.2024","0,00000973","0,00000929","0,00000996","0,00000921","31.613,14B","4,74%"
"10.10.2024","0,00000929","0,00000911","0,00000945","0,00000883","28.674,70B","1,98%"
"09.10.2024","0,00000911","0,00000952","0,00000985","0,00000899","34.095,92B","-4,31%"
"08.10.2024","0,00000952","0,00000980","0,00001006","0,00000935","37.841,54B","-2,86%"
"07.10.2024","0,00000980","0,00001024","0,00001079","0,00000978","57.153,95B","-4,30%"
"06.10.2024","0,00001024","0,00000936","0,00001031","0,00000926","39.028,96B","9,40%"
"05.10.2024","0,00000936","0,00000939","0,00000959","0,00000915","30.397,63B","-0,43%"
"04.10.2024","0,00000940","0,00000864","0,00000958","0,00000849","46.574,91B","8,80%"
"03.10.2024","0,00000864","0,00000924","0,00000952","0,00000837","47.403,42B","-6,49%"
"02.10.2024","0,00000924","0,00000970","0,00001030","0,00000893","57.611,99B","-4,74%"
"01.10.2024","0,00000970","0,00001047","0,00001143","0,00000932","78.035,28B","-7,35%"
"30.09.2024","0,00001047","0,00001128","0,00001148","0,00001036","44.157,04B","-7,18%"
"29.09.2024","0,00001128","0,00001139","0,00001193","0,00001100","46.104,10B","-0,97%"
"28.09.2024","0,00001139","0,00001070","0,00001153","0,00001056","50.070,32B","6,45%"
"27.09.2024","0,00001070","0,00000951","0,00001093","0,00000937","50.415,42B","12,51%"
"26.09.2024","0,00000951","0,00000844","0,00000972","0,00000822","56.781,04B","12,68%"
"25.09.2024","0,00000844","0,00000859","0,00000879","0,00000838","33.042,83B","-1,75%"
"24.09.2024","0,00000859","0,00000813","0,00000875","0,00000794","41.152,30B","5,53%"
"23.09.2024","0,00000814","0,00000801","0,00000832","0,00000785","23.138,41B","1,62%"
"22.09.2024","0,00000801","0,00000842","0,00000847","0,00000775","20.061,45B","-4,87%"
"21.09.2024","0,00000842","0,00000825","0,00000844","0,00000801","15.795,10B","2,06%"
"20.09.2024","0,00000825","0,00000794","0,00000850","0,00000771","40.758,33B","3,90%"
"19.09.2024","0,00000794","0,00000755","0,00000833","0,00000755","45.095,41B","5,17%"
"18.09.2024","0,00000755","0,00000732","0,00000755","0,00000701","30.533,30B","3,14%"
"17.09.2024","0,00000732","0,00000719","0,00000764","0,00000711","25.347,40B","1,81%"
"16.09.2024","0,00000719","0,00000735","0,00000739","0,00000708","21.516,45B","-2,31%"
"15.09.2024","0,00000736","0,00000776","0,00000782","0,00000734","12.590,82B","-5,15%"
"14.09.2024","0,00000776","0,00000790","0,00000794","0,00000764","13.600,21B","-1,77%"
"13.09.2024","0,00000790","0,00000741","0,00000804","0,00000731","21.997,14B","6,61%"
"12.09.2024","0,00000741","0,00000724","0,00000750","0,00000723","18.010,84B","2,35%"
"11.09.2024","0,00000724","0,00000747","0,00000747","0,00000698","25.197,78B","-3,08%"
"10.09.2024","0,00000747","0,00000738","0,00000756","0,00000729","22.057,02B","1,22%"
"09.09.2024","0,00000738","0,00000706","0,00000760","0,00000696","26.852,85B","4,53%"
"08.09.2024","0,00000706","0,00000677","0,00000737","0,00000671","22.802,06B","4,28%"
"07.09.2024","0,00000677","0,00000665","0,00000702","0,00000665","17.094,92B","1,80%"
"06.09.2024","0,00000665","0,00000710","0,00000727","0,00000634","29.669,93B","-6,34%"
"05.09.2024","0,00000710","0,00000736","0,00000740","0,00000702","14.283,82B","-3,53%"
"04.09.2024","0,00000736","0,00000726","0,00000751","0,00000688","27.775,38B","1,38%"
"03.09.2024","0,00000726","0,00000761","0,00000776","0,00000725","14.703,21B","-4,60%"
"02.09.2024","0,00000761","0,00000714","0,00000768","0,00000708","19.804,14B","6,43%"
"01.09.2024","0,00000715","0,00000759","0,00000764","0,00000708","16.515,06B","-5,80%"
"31.08.2024","0,00000759","0,00000776","0,00000787","0,00000752","11.242,61B","-2,19%"
"30.08.2024","0,00000776","0,00000766","0,00000792","0,00000737","24.884,26B","1,31%"
"29.08.2024","0,00000766","0,00000768","0,00000820","0,00000755","26.626,93B","-0,26%"
"28.08.2024","0,00000768","0,00000764","0,00000812","0,00000739","42.621,02B","0,52%"
"27.08.2024","0,00000764","0,00000852","0,00000870","0,00000758","36.486,36B","-10,33%"
"26.08.2024","0,00000852","0,00000914","0,00000926","0,00000842","29.772,08B","-6,78%"
"25.08.2024","0,00000914","0,00000949","0,00000952","0,00000869","34.013,92B","-3,69%"
"24.08.2024","0,00000949","0,00000906","0,00000982","0,00000886","44.959,31B","4,75%"
"23.08.2024","0,00000906","0,00000799","0,00000928","0,00000795","46.712,71B","13,39%"
"22.08.2024","0,00000799","0,00000791","0,00000808","0,00000773","21.915,86B","1,01%"
"21.08.2024","0,00000791","0,00000776","0,00000807","0,00000752","25.736,02B","1,93%"
"20.08.2024","0,00000776","0,00000767","0,00000828","0,00000763","39.216,00B","1,17%"
"19.08.2024","0,00000767","0,00000729","0,00000770","0,00000717","22.555,53B","5,21%"
"18.08.2024","0,00000729","0,00000749","0,00000762","0,00000728","18.718,50B","-2,67%"
"17.08.2024","0,00000749","0,00000718","0,00000769","0,00000710","22.711,95B","4,32%"
"16.08.2024","0,00000718","0,00000744","0,00000758","0,00000688","39.126,94B","-3,49%"
"15.08.2024","0,00000744","0,00000801","0,00000806","0,00000722","31.887,38B","-7,12%"
"14.08.2024","0,00000801","0,00000818","0,00000846","0,00000792","27.119,76B","-2,08%"
"13.08.2024","0,00000818","0,00000824","0,00000836","0,00000789","23.458,73B","-0,73%"
"12.08.2024","0,00000824","0,00000772","0,00000849","0,00000771","43.252,42B","6,74%"
"11.08.2024","0,00000772","0,00000844","0,00000877","0,00000766","33.671,00B","-8,53%"
"10.08.2024","0,00000844","0,00000852","0,00000871","0,00000829","16.812,62B","-0,94%"
"09.08.2024","0,00000852","0,00000876","0,00000896","0,00000832","42.719,59B","-2,74%"
