"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"18.11.2024","1,9190","1,8580","1,9810","1,8440","13,83M","3,17%"
"17.11.2024","1,8600","2,0030","2,0190","1,8230","11,01M","-7,09%"
"16.11.2024","2,0020","1,8760","2,0080","1,8560","14,68M","6,49%"
"15.11.2024","1,8800","1,8030","1,8850","1,7410","12,56M","4,21%"
"14.11.2024","1,8040","1,9500","1,9860","1,7740","16,91M","-7,68%"
"13.11.2024","1,9540","2,0190","2,0480","1,8230","25,26M","-3,22%"
"12.11.2024","2,0190","2,2060","2,2820","1,9330","39,52M","-7,98%"
"11.11.2024","2,1940","1,8080","2,2030","1,8010","50,93M","21,08%"
"10.11.2024","1,8120","1,7300","1,8680","1,7090","20,53M","5,04%"
"09.11.2024","1,7250","1,6550","1,7500","1,6160","9,94M","4,23%"
"08.11.2024","1,6550","1,6800","1,7100","1,6100","9,63M","-1,37%"
"07.11.2024","1,6780","1,7220","1,7480","1,6410","8,98M","-2,44%"
"06.11.2024","1,7200","1,5200","1,7380","1,5190","16,13M","13,16%"
"05.11.2024","1,5200","1,4580","1,5680","1,4540","4,80M","4,32%"
"04.11.2024","1,4570","1,4760","1,5020","1,4210","7,41M","-1,42%"
"03.11.2024","1,4780","1,5720","1,5780","1,4060","8,78M","-5,86%"
"02.11.2024","1,5700","1,5980","1,6170","1,5590","3,38M","-1,75%"
"01.11.2024","1,5980","1,6410","1,6500","1,5660","9,57M","-2,62%"
"31.10.2024","1,6410","1,7580","1,7590","1,6310","7,86M","-6,66%"
"30.10.2024","1,7580","1,8660","1,8710","1,7570","8,50M","-5,84%"
"29.10.2024","1,8670","1,7660","1,9420","1,7560","21,21M","5,84%"
"28.10.2024","1,7640","1,7420","1,7910","1,6730","10,91M","1,32%"
"27.10.2024","1,7410","1,6920","1,7690","1,6770","3,84M","2,90%"
"26.10.2024","1,6920","1,6520","1,6990","1,6260","5,65M","2,24%"
"25.10.2024","1,6550","1,8130","1,8130","1,5800","9,20M","-8,61%"
"24.10.2024","1,8110","1,7940","1,8380","1,7680","4,23M","0,95%"
"23.10.2024","1,7940","1,8160","1,8180","1,7240","4,03M","-1,05%"
"22.10.2024","1,8130","1,8290","1,8430","1,7710","4,10M","-0,82%"
"21.10.2024","1,8280","1,9260","1,9490","1,8050","6,17M","-5,09%"
"20.10.2024","1,9260","1,8840","1,9390","1,8470","4,50M","2,34%"
"19.10.2024","1,8820","1,9270","1,9270","1,8620","2,88M","-2,39%"
"18.10.2024","1,9280","1,8710","1,9490","1,8440","8,01M","3,43%"
"17.10.2024","1,8640","1,8500","1,9120","1,7770","9,89M","0,76%"
"16.10.2024","1,8500","1,8180","1,9060","1,7940","11,48M","1,87%"
"15.10.2024","1,8160","1,8360","1,8730","1,7620","14,85M","-0,93%"
"14.10.2024","1,8330","1,7340","1,8420","1,7060","9,18M","5,89%"
"13.10.2024","1,7310","1,7570","1,7620","1,6760","7,56M","-1,48%"
"12.10.2024","1,7570","1,7430","1,7850","1,7420","4,80M","0,92%"
"11.10.2024","1,7410","1,6760","1,7780","1,6530","6,38M","4,00%"
"10.10.2024","1,6740","1,6530","1,6920","1,5970","8,89M","1,39%"
"09.10.2024","1,6510","1,7340","1,7570","1,6370","6,81M","-4,68%"
"08.10.2024","1,7320","1,7590","1,7800","1,7070","7,56M","-1,42%"
"07.10.2024","1,7570","1,8390","1,8880","1,7530","11,68M","-4,51%"
"06.10.2024","1,8400","1,8020","1,8470","1,7890","7,16M","2,05%"
"05.10.2024","1,8030","1,8790","1,8840","1,7640","8,29M","-4,10%"
"04.10.2024","1,8800","1,8310","1,9970","1,8180","16,44M","2,90%"
"03.10.2024","1,8270","1,7280","1,8870","1,6980","23,73M","5,61%"
"02.10.2024","1,7300","1,7130","1,7970","1,6670","12,16M","1,05%"
"01.10.2024","1,7120","1,8400","1,9350","1,6100","19,99M","-7,06%"
"30.09.2024","1,8420","1,9670","1,9960","1,8220","8,31M","-6,21%"
"29.09.2024","1,9640","1,9630","1,9980","1,8950","6,09M","0,15%"
"28.09.2024","1,9610","1,9910","2,0220","1,9140","4,86M","-1,51%"
"27.09.2024","1,9910","1,9910","2,0620","1,9640","8,80M","0,10%"
"26.09.2024","1,9890","1,8760","2,0740","1,8470","14,86M","6,19%"
"25.09.2024","1,8730","1,9570","2,0470","1,8650","12,27M","-4,39%"
