"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"18.11.2024","5,329","5,322","5,593","5,156","13,98M","0,23%"
"17.11.2024","5,317","5,621","5,791","5,205","14,05M","-5,21%"
"16.11.2024","5,609","5,544","5,795","5,467","10,88M","1,14%"
"15.11.2024","5,546","5,434","5,627","5,268","14,81M","2,27%"
"14.11.2024","5,423","5,603","5,814","5,330","17,70M","-3,32%"
"13.11.2024","5,609","5,850","6,070","5,416","28,37M","-3,89%"
"12.11.2024","5,836","6,591","6,596","5,649","23,76M","-11,17%"
"11.11.2024","6,570","5,833","6,664","5,792","29,04M","12,54%"
"10.11.2024","5,838","5,705","6,130","5,519","21,34M","2,58%"
"09.11.2024","5,691","5,531","5,747","5,341","10,19M","2,87%"
"08.11.2024","5,532","5,611","5,690","5,373","9,60M","-1,14%"
"07.11.2024","5,596","5,573","5,690","5,359","11,36M","0,65%"
"06.11.2024","5,560","4,672","5,630","4,670","22,53M","19,16%"
"05.11.2024","4,666","4,268","4,762","4,237","15,35M","9,22%"
"04.11.2024","4,272","5,071","5,117","4,230","20,76M","-15,89%"
"03.11.2024","5,079","5,524","5,535","4,950","9,40M","-7,97%"
"02.11.2024","5,519","5,703","5,868","5,418","4,84M","-3,18%"
"01.11.2024","5,700","5,617","5,828","5,484","8,75M","1,48%"
"31.10.2024","5,617","5,887","5,934","5,561","6,63M","-4,41%"
"30.10.2024","5,876","6,069","6,171","5,809","7,40M","-3,18%"
"29.10.2024","6,069","5,975","6,311","5,963","15,15M","1,59%"
"28.10.2024","5,974","5,317","5,996","5,260","16,99M","12,46%"
"27.10.2024","5,312","5,038","5,406","5,027","6,92M","5,42%"
"26.10.2024","5,039","4,893","5,088","4,817","7,46M","2,59%"
"25.10.2024","4,912","5,422","5,443","4,751","11,70M","-9,39%"
"24.10.2024","5,421","5,142","5,518","5,107","9,69M","5,41%"
"23.10.2024","5,143","5,345","5,345","4,925","12,00M","-3,29%"
"22.10.2024","5,318","5,004","5,322","4,926","14,69M","6,32%"
"21.10.2024","5,002","5,212","5,292","4,878","9,07M","-3,47%"
"20.10.2024","5,182","4,933","5,202","4,864","5,65M","5,15%"
"19.10.2024","4,928","5,053","5,152","4,925","3,89M","-2,44%"
"18.10.2024","5,051","4,802","5,094","4,775","7,44M","5,08%"
"17.10.2024","4,807","5,103","5,154","4,691","11,92M","-5,84%"
"16.10.2024","5,105","5,181","5,285","5,059","9,94M","-1,37%"
"15.10.2024","5,176","5,256","5,395","4,976","16,25M","-1,07%"
"14.10.2024","5,232","4,806","5,281","4,758","11,07M","8,89%"
"13.10.2024","4,805","5,004","5,057","4,674","7,20M","-3,94%"
"12.10.2024","5,002","4,973","5,123","4,897","6,56M","0,70%"
"11.10.2024","4,967","4,691","5,082","4,684","6,57M","5,86%"
"10.10.2024","4,692","4,597","4,761","4,555","10,82M","1,51%"
"09.10.2024","4,622","5,049","5,084","4,608","14,94M","-8,48%"
"08.10.2024","5,050","5,085","5,144","4,866","13,02M","-0,57%"
"07.10.2024","5,079","4,924","5,337","4,890","14,53M","3,21%"
"06.10.2024","4,921","4,831","4,965","4,774","4,93M","1,97%"
"05.10.2024","4,826","4,803","4,878","4,699","5,07M","0,52%"
"04.10.2024","4,801","4,515","4,831","4,485","9,60M","6,36%"
"03.10.2024","4,514","4,592","4,696","4,431","14,07M","-1,81%"
"02.10.2024","4,597","4,581","4,904","4,527","16,29M","0,50%"
"01.10.2024","4,574","5,070","5,352","4,499","18,52M","-9,80%"
"30.09.2024","5,071","5,301","5,308","5,024","9,32M","-4,45%"
"29.09.2024","5,307","5,389","5,480","5,220","9,08M","-1,43%"
"28.09.2024","5,384","5,365","5,485","5,280","5,85M","0,43%"
"27.09.2024","5,361","5,378","5,541","5,305","8,29M","-0,37%"
"26.09.2024","5,381","5,037","5,707","4,939","16,98M","7,19%"
"25.09.2024","5,020","4,890","5,149","4,854","9,56M","2,87%"
"24.09.2024","4,880","4,627","4,892","4,526","8,68M","5,58%"
"23.09.2024","4,622","4,514","4,789","4,423","9,44M","2,51%"
"22.09.2024","4,509","4,692","4,698","4,386","7,31M","-3,78%"
"21.09.2024","4,686","4,461","4,701","4,400","5,61M","4,97%"
"20.09.2024","4,464","4,460","4,589","4,347","6,97M","0,27%"
"19.09.2024","4,452","4,328","4,586","4,328","9,34M","3,37%"
