"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"18.11.2024","1,20079","0,79296","1,38045","0,78299","136,68M","51,57%"
"17.11.2024","0,79223","0,86902","0,87927","0,77397","15,96M","-8,84%"
"16.11.2024","0,86902","0,74783","0,88683","0,74516","15,02M","16,20%"
"15.11.2024","0,74786","0,71006","0,74995","0,68546","8,64M","5,32%"
"14.11.2024","0,71009","0,73234","0,75582","0,69603","10,46M","-3,04%"
"13.11.2024","0,73234","0,74023","0,75127","0,69001","15,20M","-1,04%"
"12.11.2024","0,74007","0,75258","0,77046","0,69701","14,64M","-1,66%"
"11.11.2024","0,75258","0,71922","0,75534","0,70350","10,42M","4,64%"
"10.11.2024","0,71918","0,68736","0,74379","0,68274","10,91M","4,63%"
"09.11.2024","0,68732","0,67124","0,68813","0,65907","5,13M","2,38%"
"08.11.2024","0,67133","0,65667","0,67191","0,64217","6,60M","2,26%"
"07.11.2024","0,65649","0,65211","0,66361","0,63792","5,85M","0,66%"
"06.11.2024","0,65215","0,61456","0,65820","0,61456","6,89M","6,12%"
"05.11.2024","0,61456","0,59204","0,61708","0,59091","4,46M","3,80%"
"04.11.2024","0,59207","0,59908","0,60707","0,57878","4,73M","-1,17%"
"03.11.2024","0,59908","0,62246","0,62487","0,59514","5,40M","-3,76%"
"02.11.2024","0,62246","0,62808","0,63586","0,61566","2,85M","-0,89%"
"01.11.2024","0,62808","0,63024","0,64162","0,61670","6,21M","-0,32%"
"31.10.2024","0,63010","0,66118","0,66458","0,62780","3,68M","-4,71%"
"30.10.2024","0,66127","0,67747","0,67960","0,66000","3,96M","-2,39%"
"29.10.2024","0,67747","0,64825","0,67934","0,64810","3,93M","4,50%"
"28.10.2024","0,64831","0,63877","0,65384","0,62810","3,29M","1,53%"
"27.10.2024","0,63852","0,63073","0,64416","0,62896","2,18M","1,22%"
"26.10.2024","0,63083","0,62625","0,63915","0,61918","5,41M","0,50%"
"25.10.2024","0,62770","0,66924","0,67388","0,61754","6,59M","-6,21%"
"24.10.2024","0,66924","0,66232","0,67519","0,65998","3,76M","1,04%"
"23.10.2024","0,66232","0,68459","0,68531","0,64762","3,59M","-3,25%"
"22.10.2024","0,68459","0,69389","0,70292","0,67808","3,92M","-1,34%"
"21.10.2024","0,69389","0,71078","0,71473","0,68774","4,44M","-2,38%"
"20.10.2024","0,71082","0,69329","0,71148","0,68510","2,63M","2,50%"
"19.10.2024","0,69350","0,69392","0,70274","0,68595","2,00M","-0,06%"
"18.10.2024","0,69392","0,67728","0,69404","0,67490","3,22M","2,46%"
"17.10.2024","0,67728","0,69161","0,69646","0,67035","4,10M","-2,07%"
"16.10.2024","0,69161","0,70083","0,70400","0,68593","3,60M","-1,32%"
"15.10.2024","0,70087","0,70744","0,71391","0,68024","5,18M","-0,92%"
"14.10.2024","0,70740","0,68780","0,71253","0,68286","3,58M","2,86%"
"13.10.2024","0,68771","0,69291","0,69695","0,67757","2,06M","-0,75%"
"12.10.2024","0,69291","0,68315","0,70322","0,68293","2,21M","1,43%"
"11.10.2024","0,68311","0,65083","0,68382","0,64922","3,21M","4,96%"
"10.10.2024","0,65083","0,64904","0,65976","0,63090","4,33M","0,28%"
"09.10.2024","0,64904","0,65504","0,66247","0,63459","3,37M","-0,94%"
"08.10.2024","0,65517","0,66224","0,66898","0,65024","3,72M","-1,05%"
"07.10.2024","0,66212","0,67770","0,68670","0,66176","3,91M","-2,27%"
"06.10.2024","0,67750","0,66410","0,67841","0,66065","1,96M","1,99%"
"05.10.2024","0,66428","0,65679","0,66763","0,65100","1,81M","1,15%"
"04.10.2024","0,65674","0,63808","0,66042","0,63457","3,27M","2,92%"
"03.10.2024","0,63808","0,64355","0,65104","0,62161","4,46M","-0,83%"
"02.10.2024","0,64342","0,65900","0,67936","0,63461","4,74M","-2,36%"
"01.10.2024","0,65900","0,70521","0,71836","0,64357","4,79M","-6,56%"
"30.09.2024","0,70525","0,74553","0,74733","0,70089","4,47M","-5,40%"
"29.09.2024","0,74553","0,74147","0,75709","0,72845","2,40M","0,56%"
"28.09.2024","0,74141","0,75592","0,76375","0,73175","2,41M","-1,93%"
"27.09.2024","0,75600","0,73940","0,75704","0,73715","4,03M","2,25%"
"26.09.2024","0,73940","0,70770","0,74128","0,69915","4,44M","4,48%"
"25.09.2024","0,70770","0,71061","0,71789","0,69922","4,34M","-0,39%"
"24.09.2024","0,71046","0,69757","0,71146","0,68415","3,90M","1,85%"
"23.09.2024","0,69757","0,69193","0,71059","0,68255","6,93M","0,81%"
"22.09.2024","0,69199","0,70510","0,70552","0,67360","2,15M","-1,86%"
"21.09.2024","0,70510","0,69273","0,70686","0,69141","3,58M","1,79%"
"20.09.2024","0,69273","0,67938","0,69800","0,67240","4,33M","1,95%"
"19.09.2024","0,67950","0,65027","0,68474","0,65027","3,63M","4,49%"
"18.09.2024","0,65032","0,63688","0,65046","0,61681","3,66M","2,11%"
"17.09.2024","0,63688","0,62838","0,64397","0,62232","4,02M","1,35%"
"16.09.2024","0,62838","0,62778","0,63660","0,61814","4,64M","0,08%"
"15.09.2024","0,62789","0,65003","0,65475","0,62497","2,07M","-3,41%"
"14.09.2024","0,65003","0,65726","0,65774","0,64403","2,18M","-1,09%"
"13.09.2024","0,65722","0,64464","0,66026","0,64195","3,77M","1,95%"
"12.09.2024","0,64464","0,63245","0,64638","0,62866","3,60M","1,98%"
"11.09.2024","0,63213","0,64419","0,64447","0,61770","3,76M","-1,88%"
"10.09.2024","0,64424","0,64263","0,65014","0,63307","4,04M","0,32%"
"09.09.2024","0,64217","0,61835","0,64633","0,61611","4,37M","3,84%"
"08.09.2024","0,61840","0,60680","0,62340","0,60319","3,09M","1,93%"
"07.09.2024","0,60667","0,59710","0,61624","0,59339","3,50M","1,60%"
"06.09.2024","0,59710","0,61752","0,62928","0,57791","5,09M","-3,32%"
"05.09.2024","0,61757","0,63964","0,64210","0,61185","3,88M","-3,45%"
"04.09.2024","0,63964","0,62298","0,65190","0,59848","4,37M","2,68%"
"03.09.2024","0,62298","0,65623","0,66487","0,62270","3,10M","-5,06%"
"02.09.2024","0,65618","0,62927","0,66027","0,62813","3,86M","4,28%"
"01.09.2024","0,62927","0,66023","0,66110","0,62456","2,66M","-4,69%"
"31.08.2024","0,66023","0,67368","0,67801","0,65454","2,15M","-2,00%"
"30.08.2024","0,67368","0,67325","0,68153","0,65067","3,49M","0,06%"
"29.08.2024","0,67325","0,66973","0,69086","0,66217","4,41M","0,53%"
"28.08.2024","0,66973","0,67610","0,69003","0,64929","5,75M","-0,96%"
"27.08.2024","0,67623","0,70625","0,72086","0,65809","5,66M","-4,25%"
"26.08.2024","0,70625","0,73912","0,74985","0,70502","5,41M","-4,45%"
"25.08.2024","0,73912","0,75033","0,75033","0,72162","4,32M","-1,49%"
"24.08.2024","0,75033","0,74241","0,75581","0,73208","3,31M","1,07%"
"23.08.2024","0,74241","0,69546","0,74673","0,69380","5,05M","6,74%"
"22.08.2024","0,69551","0,69364","0,70466","0,68444","3,63M","0,26%"
"21.08.2024","0,69372","0,66533","0,70283","0,65955","4,24M","4,27%"
"20.08.2024","0,66533","0,65923","0,67708","0,65077","4,83M","0,92%"
"19.08.2024","0,65923","0,64655","0,66100","0,64404","4,38M","1,97%"
"18.08.2024","0,64651","0,65641","0,66780","0,64604","3,67M","-1,51%"
"17.08.2024","0,65645","0,64899","0,65700","0,64211","3,73M","1,12%"
"16.08.2024","0,64916","0,64429","0,65675","0,63152","7,70M","0,76%"
"15.08.2024","0,64429","0,65413","0,66910","0,63406","7,01M","-1,50%"
"14.08.2024","0,65413","0,68307","0,68609","0,65273","6,21M","-4,33%"
"13.08.2024","0,68370","0,67713","0,69616","0,66204","6,21M","0,97%"
"12.08.2024","0,67713","0,65165","0,68670","0,65165","7,83M","3,91%"
"11.08.2024","0,65165","0,68737","0,69423","0,65117","5,30M","-5,21%"
"10.08.2024","0,68747","0,68669","0,69176","0,67469","5,87M","0,11%"
"09.08.2024","0,68669","0,70456","0,70575","0,67695","5,13M","-2,55%"
"08.08.2024","0,70466","0,63851","0,70638","0,63086","6,38M","10,36%"
"07.08.2024","0,63851","0,64405","0,68177","0,63079","8,57M","-0,89%"
"06.08.2024","0,64421","0,61426","0,65782","0,61411","12,69M","4,88%"
"05.08.2024","0,61422","0,66179","0,66485","0,54435","15,23M","-7,20%"
"04.08.2024","0,66187","0,68552","0,69400","0,63896","6,16M","-3,44%"
"03.08.2024","0,68549","0,68900","0,70763","0,66495","7,79M","-0,51%"
"02.08.2024","0,68897","0,72772","0,72973","0,68025","8,52M","-5,32%"
"01.08.2024","0,72767","0,73188","0,73785","0,69022","9,01M","-0,55%"
"31.07.2024","0,73171","0,75204","0,75765","0,73024","6,29M","-2,69%"
"30.07.2024","0,75196","0,75676","0,76811","0,73925","5,77M","-0,63%"
"29.07.2024","0,75676","0,77340","0,79747","0,75280","6,57M","-2,14%"
"28.07.2024","0,77331","0,77740","0,78106","0,76236","4,71M","-0,52%"
"27.07.2024","0,77735","0,77847","0,78875","0,76585","3,87M","-0,14%"
"26.07.2024","0,77847","0,74371","0,78078","0,74301","5,60M","4,69%"
"25.07.2024","0,74359","0,74384","0,74880","0,71699","7,11M","-0,03%"
"24.07.2024","0,74384","0,75997","0,77473","0,73887","6,06M","-2,12%"
"23.07.2024","0,75994","0,77147","0,78724","0,74394","8,10M","-1,49%"
"22.07.2024","0,77143","0,80541","0,81000","0,76773","5,45M","-4,22%"
"21.07.2024","0,80541","0,80494","0,81088","0,77010","4,00M","0,04%"
"20.07.2024","0,80510","0,80968","0,81417","0,78921","5,24M","-0,57%"
"19.07.2024","0,80968","0,79906","0,82822","0,78789","8,64M","1,31%"
"18.07.2024","0,79920","0,80414","0,82382","0,78428","6,62M","-0,61%"
"17.07.2024","0,80414","0,82225","0,83698","0,80406","8,12M","-2,21%"
"16.07.2024","0,82227","0,82233","0,83105","0,78695","9,61M","-0,01%"
"15.07.2024","0,82233","0,79227","0,82297","0,79070","7,15M","3,76%"
"14.07.2024","0,79250","0,78546","0,79534","0,77650","3,72M","0,90%"
"13.07.2024","0,78546","0,77049","0,79500","0,76900","3,26M","1,95%"
"12.07.2024","0,77042","0,74937","0,77042","0,73633","5,87M","2,81%"
